update,elapsed_sec,steps_total,episodes,win_rate,loss_rate,timeout_rate,avg_episode_reward,avg_episode_length,draw_action_ratio,forced_draw_ratio,chosen_draw_ratio,pre_meld_ratio,pre_meld_forced_ratio,pre_meld_chosen_ratio,post_meld_forced_ratio,post_meld_chosen_ratio,avg_candidate_count,avg_win_margin,avg_loss_margin,expected_score,actor_loss,critic_loss,entropy,lr,best_avg_reward
1,134.94,1280,28,0.464,0.536,0.000,-8.785,40.00,0.545,0.525,0.020,0.115,0.086,0.000,0.439,0.020,4.37,2.38,2.07,0.00,-0.0004,10.7514,0.8075,3.00e-04,-8.785
2,318.15,2560,29,0.414,0.586,0.000,-10.167,43.24,0.547,0.522,0.025,0.081,0.057,0.002,0.465,0.023,4.96,2.33,1.59,0.03,-0.0004,8.9704,0.8640,2.97e-04,-8.785
3,484.88,3840,30,0.467,0.533,0.000,-8.854,39.90,0.532,0.508,0.024,0.083,0.055,0.003,0.452,0.021,4.58,2.07,2.62,-0.43,-0.0002,8.3790,0.8378,2.95e-04,-8.785
4,677.49,5120,32,0.531,0.469,0.000,-8.578,42.38,0.547,0.534,0.013,0.121,0.098,0.001,0.436,0.013,5.05,2.53,2.53,0.16,-0.0004,8.3772,0.8907,2.92e-04,-8.578
5,1606.02,6400,31,0.452,0.548,0.000,-9.538,40.42,0.534,0.520,0.015,0.120,0.092,0.002,0.427,0.013,4.23,2.14,3.29,-0.84,-0.0011,7.8792,0.8012,2.89e-04,-8.578
6,3573.32,7680,33,0.424,0.576,0.000,-9.384,39.61,0.559,0.545,0.015,0.151,0.123,0.002,0.422,0.013,4.28,2.00,2.74,-0.73,-0.0011,7.6704,0.8004,2.86e-04,-8.578
7,3730.82,8960,31,0.387,0.613,0.000,-10.294,41.58,0.539,0.528,0.011,0.109,0.081,0.002,0.447,0.009,4.63,2.33,2.47,-0.61,-0.0013,8.0768,0.8378,2.84e-04,-8.578
8,3900.53,10240,31,0.484,0.516,0.000,-9.151,42.13,0.541,0.522,0.019,0.098,0.073,0.002,0.448,0.017,4.87,1.93,1.94,-0.06,-0.0013,7.2890,0.8462,2.81e-04,-8.578
9,4074.43,11520,29,0.552,0.448,0.000,-8.181,40.55,0.547,0.534,0.012,0.126,0.101,0.002,0.434,0.010,5.04,2.19,2.46,0.10,-0.0021,7.6267,0.8759,2.78e-04,-8.181
10,4247.16,12800,32,0.375,0.625,0.000,-9.871,40.69,0.532,0.521,0.011,0.102,0.074,0.002,0.447,0.009,4.74,2.83,2.25,-0.34,-0.0026,7.3919,0.8418,2.76e-04,-8.181
11,4413.44,14080,33,0.515,0.485,0.000,-8.163,38.94,0.552,0.543,0.009,0.138,0.109,0.003,0.434,0.005,4.40,2.76,2.88,0.03,-0.0027,8.1448,0.8068,2.73e-04,-8.163
12,4610.08,15360,31,0.452,0.548,0.000,-9.666,41.65,0.548,0.536,0.012,0.110,0.087,0.000,0.449,0.012,4.87,1.79,2.24,-0.42,-0.0027,8.0715,0.8484,2.70e-04,-8.163
13,4780.03,16640,32,0.312,0.688,0.000,-10.961,41.38,0.545,0.534,0.011,0.117,0.092,0.000,0.441,0.011,4.68,2.00,2.09,-0.81,-0.0023,6.3421,0.8460,2.68e-04,-8.163
14,4958.25,17920,34,0.353,0.647,0.000,-10.078,38.35,0.545,0.537,0.008,0.135,0.107,0.001,0.430,0.007,4.59,2.67,2.95,-0.97,-0.0022,7.3941,0.8077,2.65e-04,-8.163
15,5131.77,19200,31,0.484,0.516,0.000,-8.739,41.29,0.534,0.527,0.006,0.095,0.070,0.001,0.457,0.005,4.72,2.53,2.31,0.03,-0.0023,8.0582,0.8210,2.62e-04,-8.163
16,5323.65,20480,31,0.645,0.355,0.000,-7.269,41.74,0.541,0.534,0.007,0.084,0.059,0.000,0.475,0.007,4.69,2.20,2.45,0.55,-0.0020,7.6602,0.8314,2.59e-04,-7.269
17,5502.51,21760,29,0.517,0.483,0.000,-8.704,42.38,0.535,0.530,0.005,0.095,0.071,0.002,0.459,0.004,4.60,2.00,2.14,0.00,-0.0031,7.4966,0.8072,2.57e-04,-7.269
18,5697.60,23040,29,0.621,0.379,0.000,-7.427,41.66,0.530,0.523,0.008,0.092,0.069,0.001,0.454,0.007,4.85,2.00,1.82,0.55,-0.0020,6.5076,0.8212,2.54e-04,-7.269
19,5875.79,24320,33,0.636,0.364,0.000,-6.895,40.42,0.537,0.534,0.002,0.092,0.066,0.000,0.468,0.002,4.53,1.95,2.00,0.52,-0.0023,6.8739,0.7870,2.51e-04,-6.895
20,6048.73,25600,31,0.484,0.516,0.000,-9.104,41.03,0.544,0.536,0.008,0.122,0.098,0.000,0.438,0.008,4.28,1.87,2.50,-0.39,-0.0037,7.1119,0.7572,2.49e-04,-6.895
21,6301.39,26880,33,0.364,0.636,0.000,-10.076,40.09,0.548,0.542,0.005,0.131,0.105,0.000,0.437,0.005,4.67,2.50,2.19,-0.48,-0.0029,6.1236,0.8083,2.46e-04,-6.895
22,6591.42,28160,30,0.367,0.633,0.000,-10.481,40.43,0.556,0.543,0.013,0.110,0.085,0.001,0.458,0.013,4.41,1.73,2.42,-0.90,-0.0016,6.8782,0.7587,2.43e-04,-6.895
23,6875.63,29440,33,0.576,0.424,0.000,-7.684,40.61,0.530,0.523,0.007,0.098,0.073,0.001,0.451,0.006,4.53,2.11,2.86,0.00,-0.0024,7.1660,0.7881,2.41e-04,-6.895
24,7080.52,30720,30,0.333,0.667,0.000,-11.057,40.63,0.559,0.548,0.012,0.125,0.102,0.000,0.446,0.012,4.71,1.70,2.90,-1.37,-0.0036,6.6994,0.8081,2.38e-04,-6.895
25,7291.13,32000,33,0.606,0.394,0.000,-7.099,40.15,0.532,0.530,0.002,0.109,0.083,0.000,0.447,0.002,4.96,2.55,2.00,0.76,-0.0026,8.4194,0.8348,2.35e-04,-6.895
26,7491.79,33280,29,0.517,0.483,0.000,-8.517,40.97,0.530,0.524,0.005,0.122,0.100,0.000,0.424,0.005,4.61,1.87,2.43,-0.21,-0.0031,6.3864,0.8083,2.32e-04,-6.895
27,7682.65,34560,34,0.500,0.500,0.000,-9.196,42.21,0.559,0.557,0.002,0.154,0.128,0.001,0.429,0.002,4.81,2.53,2.88,-0.18,-0.0027,6.9368,0.8121,2.30e-04,-6.895
28,7845.19,35840,31,0.516,0.484,0.000,-8.428,41.29,0.532,0.527,0.005,0.080,0.054,0.000,0.473,0.005,4.26,1.94,1.80,0.13,-0.0032,6.0513,0.7362,2.27e-04,-6.895
