pairs: 3000 requested, 2962 to generate (38 already on disk)
  50/2962 pairs, 1601 decisions, ETA 119min
  100/2962 pairs, 3224 decisions, ETA 101min
  150/2962 pairs, 4813 decisions, ETA 102min
  200/2962 pairs, 6419 decisions, ETA 113min
  250/2962 pairs, 8099 decisions, ETA 111min
  300/2962 pairs, 9751 decisions, ETA 112min
  350/2962 pairs, 11382 decisions, ETA 110min
  400/2962 pairs, 13051 decisions, ETA 112min
  450/2962 pairs, 14649 decisions, ETA 115min
  500/2962 pairs, 16302 decisions, ETA 117min
  550/2962 pairs, 17903 decisions, ETA 117min
  600/2962 pairs, 19511 decisions, ETA 114min
  650/2962 pairs, 21207 decisions, ETA 114min
  700/2962 pairs, 22837 decisions, ETA 113min
  750/2962 pairs, 24469 decisions, ETA 110min
  800/2962 pairs, 26128 decisions, ETA 108min
  850/2962 pairs, 27734 decisions, ETA 105min
  900/2962 pairs, 29241 decisions, ETA 102min
  950/2962 pairs, 30853 decisions, ETA 99min
  1000/2962 pairs, 32387 decisions, ETA 97min
  1050/2962 pairs, 33931 decisions, ETA 93min
  1100/2962 pairs, 35457 decisions, ETA 90min
  1150/2962 pairs, 37123 decisions, ETA 88min
  1200/2962 pairs, 38729 decisions, ETA 85min
  1250/2962 pairs, 40272 decisions, ETA 82min
  1300/2962 pairs, 41835 decisions, ETA 79min
  1350/2962 pairs, 43367 decisions, ETA 77min
  1400/2962 pairs, 44928 decisions, ETA 74min
  1450/2962 pairs, 46625 decisions, ETA 73min
  1500/2962 pairs, 48186 decisions, ETA 70min
  1550/2962 pairs, 49750 decisions, ETA 68min
  1600/2962 pairs, 51302 decisions, ETA 66min
  1650/2962 pairs, 52958 decisions, ETA 63min
  1700/2962 pairs, 54572 decisions, ETA 61min
  1750/2962 pairs, 56224 decisions, ETA 59min
  1800/2962 pairs, 57801 decisions, ETA 56min
  1850/2962 pairs, 59475 decisions, ETA 54min
  1900/2962 pairs, 61105 decisions, ETA 51min
  1950/2962 pairs, 62658 decisions, ETA 49min
  2000/2962 pairs, 64206 decisions, ETA 46min
  2050/2962 pairs, 65767 decisions, ETA 44min
  2100/2962 pairs, 67309 decisions, ETA 41min
  2150/2962 pairs, 68888 decisions, ETA 39min
  2200/2962 pairs, 70434 decisions, ETA 36min
  2250/2962 pairs, 72099 decisions, ETA 34min
  2300/2962 pairs, 73715 decisions, ETA 32min
  2350/2962 pairs, 75380 decisions, ETA 29min
  2400/2962 pairs, 77010 decisions, ETA 27min
  2450/2962 pairs, 78648 decisions, ETA 25min
  2500/2962 pairs, 80255 decisions, ETA 22min
  2550/2962 pairs, 81882 decisions, ETA 20min
  2600/2962 pairs, 83410 decisions, ETA 17min
  2650/2962 pairs, 84997 decisions, ETA 15min
  2700/2962 pairs, 86649 decisions, ETA 13min
  2750/2962 pairs, 88267 decisions, ETA 10min
  2800/2962 pairs, 89798 decisions, ETA 8min
  2850/2962 pairs, 91438 decisions, ETA 5min
  2900/2962 pairs, 93087 decisions, ETA 3min
  2950/2962 pairs, 94725 decisions, ETA 1min
done: 95165 decisions in 8542s -> data/stage0
